Model,Accuracy,Precision,Recall,Macro F1,ROC-AUC
Logistic Regression (Base),0.5356558215674238,0.25136482316638975,0.43339472068753837,0.4830657768494697,0.5022067164824984
SVM (Base),0.5640986290157561,0.25184375853591917,0.37732760384694086,0.492576642336011,0.5023768391345241
Naive Bayes (Base),0.7293329240843053,0.25,0.0413341518313894,0.4562654948295171,0.5
Random Forest (Base),0.5526396562308165,0.2762700069589422,0.48741559238796806,0.5054393330932151,0.5468992240109736
Soft Voting,0.6498874565172907,0.25494615577260205,0.20830775526908124,0.5013883820277784,0.508446842993792
Hard Voting,0.6783814200941273,0.2721354166666667,0.17106609371802742,0.5040812606655549,0.508446842993792
Stacking,0.6928586044608144,0.2523281596452328,0.11643134847554737,0.48572201074468796,0.5182906624716199
