Model,Exact Match,Option Macro F1
Logistic Regression,0.2441170452220176,0.24266519593600816
SVM,0.25025578064252096,0.2476712307165293
Naive Bayes,0.2183343564559034,0.0896036278132348
Random Forest,0.31450787804378966,0.31423380521827116
