Model,Features,Accuracy,Precision,Recall,Macro F1,ROC-AUC
Logistic Regression,One-Hot (article+question+option),0.5356558215674238,0.25136482316638975,0.43339472068753837,0.4830657768494697,0.5022067164824984
SVM,One-Hot (article+question+option),0.5640986290157561,0.25184375853591917,0.37732760384694086,0.492576642336011,0.5023768391345241
Naive Bayes,Bag-of-words (question tokens only),0.7293329240843053,0.25,0.0413341518313894,0.4562654948295171,0.5
Random Forest,Handcrafted lexical features,0.5526396562308165,0.2762700069589422,0.48741559238796806,0.5054393330932151,0.5468992240109736
