Model,Option Accuracy,Option Macro F1
Logistic Regression (Base),0.2441170452220176,0.24266519593600816
SVM (Base),0.25025578064252096,0.2476712307165293
Naive Bayes (Base),0.2183343564559034,0.0896036278132348
Random Forest (Base),0.31450787804378966,0.31423380521827116
Soft Voting,0.3077552690812359,0.30734227490882476
Hard Voting,0.3077552690812359,0.30734227490882476
Stacking,0.31573562512789033,0.31523909325717026
