question_id,ml_precision,ml_recall,ml_f1,num_ml_distractors
high5060.txt,0.27777777777777773,0.25,0.2571428571428572,3
high5060.txt,0.2222222222222222,0.13333333333333333,0.15654520917678813,3
high5060.txt,0.2222222222222222,0.26666666666666666,0.2424242424242424,3
high14410.txt,0.16666666666666666,0.10317460317460318,0.12535612535612536,3
high14410.txt,0.3055555555555555,0.2555555555555556,0.25997150997151,3
high14410.txt,0.0,0.0,0.0,3
high11466.txt,0.19444444444444442,0.16666666666666666,0.1785714285714286,3
high11466.txt,0.047619047619047616,0.1111111111111111,0.06666666666666667,3
high11466.txt,0.17777777777777778,0.1111111111111111,0.12573099415204678,3
high3026.txt,0.14814814814814814,0.12121212121212122,0.13333333333333333,3
high3026.txt,0.43333333333333335,0.11666666666666665,0.1777777777777778,3
high16854.txt,0.5238095238095238,0.3333333333333333,0.3904761904761905,3
high16854.txt,0.3055555555555555,0.15454545454545454,0.18585762064022934,3
high16854.txt,0.2962962962962963,0.24166666666666667,0.2473604826546003,3
high16854.txt,0.0,0.0,0.0,3
high13208.txt,0.3333333333333333,0.16666666666666666,0.21645021645021645,3
high13208.txt,0.0,0.0,0.0,3
high13208.txt,0.2222222222222222,0.25,0.22857142857142856,3
high12024.txt,0.08333333333333333,0.16666666666666666,0.1111111111111111,3
high12024.txt,0.0,0.0,0.0,3
high12024.txt,0.044444444444444446,0.08333333333333333,0.05797101449275363,3
high12024.txt,0.3148148148148148,0.27777777777777773,0.2611111111111111,3
high3538.txt,0.06666666666666667,0.041666666666666664,0.05128205128205129,3
high3538.txt,0.17777777777777778,0.16666666666666666,0.16931216931216933,3
high3538.txt,0.35555555555555557,0.26666666666666666,0.30000000000000004,3
high23865.txt,0.19999999999999998,0.25,0.22222222222222218,3
high23865.txt,0.08333333333333333,0.07407407407407407,0.0784313725490196,3
high23865.txt,0.14074074074074075,0.14814814814814814,0.1442495126705653,3
high21866.txt,0.1111111111111111,0.08333333333333333,0.09523809523809525,3
high21866.txt,0.37777777777777777,0.2638888888888889,0.2657407407407407,3
high10154.txt,0.42063492063492064,0.3333333333333333,0.3452380952380953,3
high10154.txt,0.24444444444444446,0.21666666666666667,0.22857142857142862,3
high10154.txt,0.047619047619047616,0.047619047619047616,0.047619047619047616,3
high10760.txt,0.16666666666666666,0.16666666666666666,0.1619047619047619,3
high10760.txt,0.1111111111111111,0.16666666666666666,0.13333333333333333,3
high10760.txt,0.0,0.0,0.0,3
high16116.txt,0.0909090909090909,0.14285714285714285,0.11111111111111109,3
high16116.txt,0.30952380952380953,0.26666666666666666,0.2619047619047619,3
