Model,Accuracy,Precision,Recall,Macro F1,ROC-AUC
Logistic Regression (Base),0.672549621444649,0.2947396963123644,0.222426846736239,0.5219016223881794,0.5387431694652604
SVM (Base),0.6740843052997749,0.29615384615384616,0.220585226110088,0.5222150775466529,0.5387803371264586
Naive Bayes (Base),0.6217515858399836,0.2525172754195459,0.2617147534274606,0.5016640125139787,0.5033507351401897
Random Forest (Base),0.5932064661346429,0.2751283932501834,0.38367096378146104,0.5150877488688801,0.5363574396810242
Soft Voting,0.5490075711070186,0.26874632136550913,0.4671577655003069,0.4991781746644193,0.5276247909109701
Hard Voting,0.680939226519337,0.2948328267477204,0.19848577859627584,0.5177651003138092,0.5276247909109701
Stacking,0.6380192347043175,0.26252983293556087,0.24759566196030283,0.5078950454245316,0.5181331360697748
