Model,Option Accuracy,Option Macro F1
Logistic Regression (Base),0.3423368119500716,0.3418605130315277
SVM (Base),0.34090444035195416,0.3404304536774382
Naive Bayes (Base),0.2809494577450379,0.28087206345721144
Random Forest (Base),0.3079598935952527,0.3064696340284237
Soft Voting,0.34131368937998774,0.34064820012939484
Hard Voting,0.34131368937998774,0.34064820012939484
Stacking,0.3423368119500716,0.34181226515940943
