question_id,ml_precision,ml_recall,ml_f1,w2v_precision,w2v_recall,w2v_f1,num_ml_distractors,num_w2v_distractors
high5060.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high5060.txt,0.3333333333333333,0.041666666666666664,0.07407407407407407,0.0,0.0,0.0,3,0
high5060.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high14410.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high14410.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high14410.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high11466.txt,0.611111111111111,0.25,0.33968253968253964,0.0,0.0,0.0,3,0
high11466.txt,0.1111111111111111,0.030303030303030304,0.04761904761904762,0.0,0.0,0.0,3,0
high11466.txt,0.2222222222222222,0.07407407407407407,0.1111111111111111,0.0,0.0,0.0,3,0
high3026.txt,0.1111111111111111,0.030303030303030304,0.04761904761904762,0.0,0.0,0.0,3,0
high3026.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high16854.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high16854.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high16854.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high16854.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high13208.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high13208.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high13208.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high12024.txt,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.0,0.0,0.0,3,0
high12024.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high12024.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high12024.txt,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.0,0.0,0.0,3,0
high3538.txt,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,3,0
high3538.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high3538.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high23865.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high23865.txt,0.3333333333333333,0.041666666666666664,0.07407407407407407,0.0,0.0,0.0,3,0
high23865.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high21866.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high21866.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high10154.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high10154.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high10154.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
high10760.txt,0.0,0.0,0.0,0.0,0.0,0.0,3,0
